fips,mean_pm25,mean_winter_temp,mean_summer_temp,mean_winter_rm,mean_summer_rm,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,NAME,land_area,year,hispanic_pct,poverty,poverty_mcare,population,median_house_value,blk_pct,white_pct,native_pct,asian_pct,no_grad,no_grad_mcare,median_household_income,owner_occupied,median_age,age_pct_0_14,age_pct_15_44,age_pct_45_65,age_pct_65_plus,population_density,q_popdensity,obese,smoke,Population,older_pecent,young_pecent,prime_pecent,mid_pecent
42033,8.271503579,274.5008679,299.1468116,88.49164201,91.4182279,Clearfield,Pennsylvania,US,2021/11/1 4:22,41.00110782,-78.47592663,11441,196,NA,NA,"Clearfield, Pennsylvania, US",Clearfield County,1144.682722,2016,0.02844647,0.148486094,0.079866321,81170,88300,0.024959961,0.952273007,0.001700136,0.005285204,0.203063099,0.198516977,43361,0.774334728,43.9,0.153332512,0.361389676,0.295872859,0.189404953,70.91047887,1,0.408,0.197941987,1476849,0.176059976,0.167241201,0.379990778,0.276708045
42035,8.096661011,274.5922893,299.3695465,86.13032265,89.24376228,Clinton,Pennsylvania,US,2021/11/1 4:22,41.23255967,-77.63785995,5084,78,NA,NA,"Clinton, Pennsylvania, US",Clinton County,887.9841899,2016,0.013582558,0.172509917,0.070010608,39536,119500,0.016314245,0.961908134,0.001365844,0.00609571,0.182529584,0.184782609,47163,0.706594154,37.9,0.169668151,0.407147916,0.250986443,0.172197491,44.52331522,1,0.351,0.185599837,698598,0.16605258,0.172718788,0.412862619,0.248366013
42037,9.416379846,275.400515,300.0603411,83.87779576,91.03118726,Columbia,Pennsylvania,US,2021/11/1 4:22,41.04821986,-76.40565017,8110,154,NA,NA,"Columbia, Pennsylvania, US",Columbia County,483.1067739,2016,0.025235128,0.152927159,0.099084399,66772,140100,0.018435871,0.951821123,0.001602468,0.011576709,0.166712326,0.198819752,46952,0.695970557,40.1,0.14887977,0.407206614,0.271341281,0.172572336,138.2137523,1,0.317,0.179660402,1187248,0.162535544,0.156202411,0.423788459,0.257473586
42039,8.198443832,274.2081321,299.0593347,91.51430385,92.25803671,Crawford,Pennsylvania,US,2021/11/1 4:22,41.68447709,-80.10760592,11225,190,NA,NA,"Crawford, Pennsylvania, US",Crawford County,1012.301923,2016,0.011686028,0.145079525,0.082226762,87027,106700,0.01891367,0.958265826,0.000448137,0.004757144,0.193994231,0.165153128,45637,0.735098187,42.6,0.17601434,0.353637377,0.286876487,0.183471796,85.96941089,1,0.371,0.200917696,1598740,0.165315186,0.186511878,0.374621264,0.273551672
42041,10.62198389,277.4266624,301.6253338,81.88886147,90.03210831,Cumberland,Pennsylvania,US,2021/11/1 4:22,40.1625372,-77.26130755,28662,626,NA,NA,"Cumberland, Pennsylvania, US",Cumberland County,545.4993394,2016,0.033965174,0.086105743,0.047801867,243838,191700,0.035548192,0.890767641,0.000750498,0.036987672,0.161837267,0.144310312,62640,0.705878696,40.7,0.168251052,0.38762211,0.273587382,0.170539457,446.9996247,1,0.293,0.163503383,4135605,0.156730877,0.172888126,0.403477847,0.26690315
42043,10.71561793,276.7739168,301.0761756,82.20421889,90.4471861,Dauphin,Pennsylvania,US,2021/11/1 4:22,40.41377078,-76.77993242,35354,651,NA,NA,"Dauphin, Pennsylvania, US",Dauphin County,524.9066525,2016,0.082419603,0.134408602,0.067398119,271962,161000,0.183260897,0.717739978,0.002331208,0.037803075,0.191215132,0.164031621,54968,0.632477702,39.6,0.18611056,0.380461241,0.280862768,0.152565432,518.1149805,1,0.335,0.185236239,4732278,0.142844524,0.191882641,0.395011662,0.270261172
42045,11.43694332,278.7967369,302.5271465,78.35627908,85.32668437,Delaware,Pennsylvania,US,2021/11/1 4:22,39.91680171,-75.40243663,62896,1504,NA,NA,"Delaware, Pennsylvania, US",Delaware County,183.8186725,2016,0.034727804,0.108501371,0.074705223,562316,233300,0.210004695,0.703858684,0.001479595,0.052605652,0.156164434,0.124209559,66576,0.693934483,39,0.183990852,0.389377147,0.275611934,0.151020067,3059.079865,1,0.269,0.149177097,10014139,0.148168305,0.192458583,0.402197633,0.25717548
42047,7.523529822,273.6272433,298.2936579,90.96243234,93.08121069,Elk,Pennsylvania,US,2021/11/1 4:22,41.42822061,-78.64524744,4227,56,NA,NA,"Elk, Pennsylvania, US",Elk County,827.3613638,2016,0.007167883,0.087679812,0.046639676,31111,92200,0.004982161,0.980328501,0.002217865,0.004532159,0.154918854,0.179755945,47917,0.786035025,46.6,0.160329144,0.316318987,0.317893992,0.205457877,37.60267443,1,0.265,0.173132723,590780,0.187247368,0.175229358,0.352489929,0.285033346
42049,7.876683848,274.5519214,298.7402518,88.58610892,92.33644595,Erie,Pennsylvania,US,2021/11/1 4:22,41.99253829,-80.03301954,29945,490,NA,NA,"Erie, Pennsylvania, US",Erie County,799.0841463,2016,0.038848864,0.166661043,0.085301651,279133,120300,0.071159626,0.873501163,0.002765707,0.015429921,0.163269616,0.132153178,47094,0.658554981,38.9,0.18034772,0.389047515,0.273156524,0.157448242,349.3161531,1,0.34,0.202968756,5031304,0.147322245,0.190321634,0.404776972,0.257579148
42051,10.52673569,276.8329314,299.8305127,88.16094968,92.13786734,Fayette,Pennsylvania,US,2021/11/1 4:22,39.92041012,-79.64291195,18214,410,NA,NA,"Fayette, Pennsylvania, US",Fayette County,790.3386757,2016,0.010318188,0.186344796,0.11010085,134229,92000,0.040602254,0.927832287,0.000595996,0.00171349,0.201059622,0.211838965,40511,0.726655981,44.4,0.159078888,0.348009745,0.299346639,0.193564729,169.8373167,1,0.397,0.214272999,2519443,0.184238738,0.170438069,0.364858026,0.280465166
42053,7.810262084,273.8275575,298.6389234,91.86581892,92.76528586,Forest,Pennsylvania,US,2021/11/1 4:22,41.51095103,-79.23229292,1604,24,NA,NA,"Forest, Pennsylvania, US",Forest County,427.2699059,2016,0.07540371,0.127302632,0.05838425,7493,85600,0.316428667,0.620979581,0.004537568,0.005738689,0.215604609,0.141791045,36594,0.8469163,42.8,0.014947284,0.51835046,0.252101962,0.214600294,17.53692431,1,0.343,0.195233969,123016,0.195194121,0.087565845,0.425505625,0.291734409
